id,AEZ,Tillage date,Sowing date,Harvest date,Planting density,N 1st application (kg/ha),N 1st date,N 2nd application (kg/ha),N 2nd date,N 3rd application (kg/ha),N 3rd date,Maize seed variety
1,Guinea Savannah,20-May,22-May,12-Sep,0.355,27.5,22-May,27.5,13-Jun,27.5,03-Jul,SAMMAZ 15 (IWDC2Syn-F2-W
2,Sudan Savannah,12-Jun,15-Jun,07-Oct,0.35,39.4,17-Jun,39.4,08-Jul,39.4,27-Jul,SAMMAZ 27 (EV 99DT-W-STR
3,Rain forest,20-Apr,22-Apr,12-Aug,0.35,25,22-Apr,25,13-May,25,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
4,Sahel Savannah,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill
5,Fresh Water swamp,20-Apr,22-Apr,12-Aug,0.35,25,22-Apr,25,13-May,25,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
6,Mangrove,20-Apr,22-Apr,12-Aug,0.35,25,22-Apr,25,13-May,25,03-Jun,SAMMAZ 40 (DTSTR-Y SYN2)
7,Lake Chad,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill,Nill




