run-id,region,crop,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,dem_asc_grid,slope_asc_grid,sim.json,crop.json,site.json,comment
1,nigeria,BokkosMaize_1,early,low,GFDL-ESM4,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
2,nigeria,BokkosMaize_1,early,low,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
3,nigeria,BokkosMaize_1,early,low,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
4,nigeria,BokkosMaize_1,early,low,MRI-ESM2-0,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
5,nigeria,BokkosMaize_1,early,low,UKESM1-0-LL,ssp126,r1i1p1f2,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
6,nigeria,BokkosMaize_1,early,medium,GFDL-ESM4,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
7,nigeria,BokkosMaize_1,early,medium,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
8,nigeria,BokkosMaize_1,early,medium,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
9,nigeria,BokkosMaize_1,early,medium,MRI-ESM2-0,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
10,nigeria,BokkosMaize_1,early,medium,UKESM1-0-LL,ssp126,r1i1p1f2,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
11,nigeria,BokkosMaize_1,early,medium,GFDL-ESM4,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
12,nigeria,BokkosMaize_1,early,medium,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
13,nigeria,BokkosMaize_1,early,medium,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
14,nigeria,BokkosMaize_1,early,medium,MRI-ESM2-0,ssp126,r1i1p1f1,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
15,nigeria,BokkosMaize_1,early,medium,UKESM1-0-LL,ssp126,r1i1p1f2,true,2010-01-01,2020-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5|0.5|0.5|0|0.5|0.5|0,,true,elevation_0.009_4326_wgs84_nigeria.asc,slope_0.009_4326_wgs84_nigeria.asc,sim.json,crop.json,site.json,
