run-id,region,crop,only_country_ids,use_optimized_params,planting,nitrogen,gcm,scenario,ensmem,incl_historical,start_date,end_date,elevation,slope,latitude,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,use_vernalisation_fix,path_to_dem_asc_grid,path_to_slope_asc_grid,slope_unit,sim.json,crop.json,site.json,comment
1,africa,maize,50,true,,,GFDL-ESM4,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
2,africa,maize,,true,,,GFDL-ESM4,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
3,africa,maize,,true,,,MRI-ESM2-0,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
4,africa,maize,,true,,,MRI-ESM2-0,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
5,africa,maize,,true,,,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
6,africa,maize,,true,,,IPSL-CM6A-LR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
7,africa,maize,,true,,,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
8,africa,maize,,true,,,MPI-ESM1-2-HR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,

9,africa,sorghum,,true,,,GFDL-ESM4,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
10,africa,sorghum,,true,,,GFDL-ESM4,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
11,africa,sorghum,,true,,,MRI-ESM2-0,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
12,africa,sorghum,,true,,,MRI-ESM2-0,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
13,africa,sorghum,,true,,,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
14,africa,sorghum,,true,,,IPSL-CM6A-LR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
15,africa,sorghum,,true,,,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
16,africa,sorghum,,true,,,MPI-ESM1-2-HR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,

17,africa,millet,,true,,,GFDL-ESM4,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
18,africa,millet,,true,,,GFDL-ESM4,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
19,africa,millet,,true,,,MRI-ESM2-0,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
20,africa,millet,,true,,,MRI-ESM2-0,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
21,africa,millet,,true,,,IPSL-CM6A-LR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
22,africa,millet,,true,,,IPSL-CM6A-LR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
23,africa,millet,,true,,,MPI-ESM1-2-HR,ssp126,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
24,africa,millet,,true,,,MPI-ESM1-2-HR,ssp585,r1i1p1f1,true,1981-01-01,2060-12-31,true,true,true,false,true,false,true,false,false,false,,,0.5,,true,data/elevation_0.5deg_4326_wgs84_africa.asc,data/slope-degree_0.494deg_4326_wgs84_africa.asc,degree,sim.json,crop_africa.json,site.json,
